image_path,label_str
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (636).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (289).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (180).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (635).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (343).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (390).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/Non_COVID (61).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (326).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (113).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/Non_COVID (74).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (233).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (171).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10479).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10428).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10348).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (644).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10590).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10553).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (248).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (411).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (476).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (385).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (165).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10513).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10386).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10444).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (273).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10443).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10381).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (259).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (613).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (129).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (605).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10365).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10422).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (262).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (261).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (251).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10356).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (154).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (490).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (42).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10361).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10384).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10570).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (364).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (408).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (226).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10507).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (509).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (512).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10309).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10338).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (379).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (115).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (164).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10512).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (415).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10520).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (17).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/Non_COVID (75).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (382).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (139).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (388).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (544).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10357).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10333).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10506).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (297).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (378).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (315).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10556).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/Non_COVID (9).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (363).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (646).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (374).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (648).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (383).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10581).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (396).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (167).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (657).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (30).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (319).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (232).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (527).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10534).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (619).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (317).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10574).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (298).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10405).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (96).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (238).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (294).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10306).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (630).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (641).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (323).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (421).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10563).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (211).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (453).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (249).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10583).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10529).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (578).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (368).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (266).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10417).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (626).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (157).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10436).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (209).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10327).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10500).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (628).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (239).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (14).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (250).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (264).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10483).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10454).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/Non_COVID (6).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10367).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (306).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10490).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (570).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10509).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10355).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (494).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10458).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (360).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (127).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10324).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (436).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (356).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (517).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (183).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/Non_COVID (45).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (389).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (569).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (225).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (487).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (268).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (33).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (532).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10562).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10565).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (10420).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (191).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (140).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (386).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (331).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (341).png,Non-COVID
/kaggle/input/covidqu/Infection Segmentation Data/Infection Segmentation Data/Train/Non-COVID/images/non_COVID (529).png,Non-COVID
